iter	RMSE
0	234014.1397
1	214262.2832
2	195682.2289
3	177991.8417
4	162592.6537
5	149631.6794
6	136773.1053
7	125658.0007
8	115361.9736
9	105454.1514
10	96452.74199
11	88763.322
12	81902.48797
13	76089.20215
14	70372.45075
15	65456.06994
16	60808.62159
17	56609.78212
18	52768.57729
19	49090.95387
20	45705.27804
21	42978.85845
22	40263.6454
23	37851.782
24	35641.22635
25	33534.81709
26	31639.36801
27	29853.74069
28	28523.18981
29	27244.74633
30	26031.32791
31	24819.93363
32	23802.93103
33	22731.5514
34	21822.43643
35	21178.44718
36	20388.62222
37	19666.10987
38	19095.15482
39	18510.84941
40	18035.81654
41	17572.69788
42	17078.65777
43	16665.18842
44	16293.11848
45	16002.78634
46	15740.47146
47	15407.81914
48	15098.63952
49	14832.96065
50	14529.85184
51	14296.29914
52	14077.27482
53	13878.81408
54	13702.84436
55	13545.99395
56	13381.91861
57	13244.89816
58	13112.53497
59	12994.65862
60	12880.98493
61	12767.43775
62	12644.45878
63	12557.27127
64	12452.74524
65	12310.27783
66	12212.25961
67	12112.2918
68	12039.71024
69	11971.37593
70	11871.31132
71	11811.22228
72	11711.50686
73	11653.98045
74	11604.78324
75	11545.57802
76	11494.19375
77	11431.41424
78	11334.11775
79	11289.04143
80	11228.05268
81	11161.80274
82	11117.28097
83	11087.90734
84	11002.8224
85	10947.23648
86	10900.90709
87	10859.30798
88	10830.56371
89	10818.85405
90	10791.58084
91	10733.51606
92	10709.53779
93	10646.46207
94	10595.35893
95	10559.87126
96	10474.9301
97	10440.64774
98	10369.90716
99	10328.51175
100	10268.30715
101	10244.08408
102	10195.87285
103	10152.62886
104	10106.62937
105	10081.96909
106	10065.74804
107	10043.7657
108	9995.323255
109	9983.826093
110	9956.833684
111	9946.165668
112	9853.264097
113	9776.202301
114	9758.333842
115	9716.385028
116	9692.018197
117	9651.173335
118	9618.885533
119	9571.559611
120	9545.16338
121	9469.947959
122	9460.145927
123	9416.250351
124	9384.857768
125	9369.327437
126	9337.026998
127	9278.555505
128	9235.577872
129	9208.638706
130	9155.857393
131	9127.869455
132	9100.131779
133	9072.64801
134	9046.865064
135	9011.142182
136	8978.438256
137	8915.906605
138	8906.022536
139	8884.663048
140	8857.478854
141	8834.021887
142	8812.650495
143	8788.139107
144	8765.705809
145	8735.640121
146	8704.21117
147	8673.094745
148	8630.630422
149	8595.087974
150	8590.569384
151	8547.955718
152	8528.886659
153	8506.076132
154	8491.185124
155	8449.033562
156	8414.116386
157	8399.673891
158	8361.472569
159	8324.734341
160	8301.652963
161	8258.021548
162	8246.376841
163	8214.820311
164	8183.629133
165	8153.694824
166	8121.377825
167	8095.652398
168	8056.909292
169	8023.33817
170	7985.47724
171	7963.436584
172	7925.59923
173	7915.748369
174	7880.948118
175	7864.35384
176	7852.419867
177	7829.002747
178	7798.000976
179	7781.814753
180	7758.490077
181	7718.937838
182	7696.460862
183	7671.913297
184	7646.998136
185	7616.37176
186	7605.216178
187	7577.082695
188	7557.491155
189	7530.420815
190	7507.43433
191	7493.217851
192	7463.86288
193	7455.836015
194	7444.071709
195	7408.143376
196	7394.998345
197	7362.741657
198	7341.494668
199	7317.705815
200	7299.821926
201	7278.016023
202	7254.993998
203	7250.718041
204	7224.902886
205	7195.271512
206	7178.122159
207	7149.595977
208	7145.190184
209	7138.884133
210	7131.131661
211	7112.263514
212	7093.701565
213	7072.807081
214	7044.648378
215	7024.371127
216	7014.825817
217	6985.830945
218	6978.842424
219	6955.93622
220	6938.800588
221	6922.00745
222	6899.968693
223	6885.303879
224	6869.127705
225	6858.989877
226	6830.331558
227	6817.147717
228	6796.245094
229	6768.547328
230	6745.398581
231	6733.599056
232	6713.694396
233	6695.581424
234	6677.989404
235	6664.364665
236	6662.154643
237	6642.199094
238	6630.257068
239	6618.303951
240	6599.668188
241	6583.736166
242	6572.078519
243	6558.48254
244	6544.532457
245	6527.296001
246	6505.036499
247	6493.03223
248	6480.469898
249	6478.465924
250	6461.581409
251	6444.156661
252	6435.454679
253	6430.993224
254	6413.989166
255	6404.104674
256	6388.729633
257	6370.514214
258	6360.409924
259	6343.666226
260	6328.534383
261	6322.329297
262	6293.613234
263	6282.65833
264	6262.058617
265	6260.324876
266	6255.583748
267	6251.006864
268	6240.44394
269	6224.012735
270	6206.128753
271	6184.630379
272	6163.492503
273	6156.846877
274	6146.341609
275	6136.814586
276	6118.451022
277	6100.499484
278	6085.492969
279	6073.061703
280	6051.284515
281	6042.573907
282	6026.503649
283	6016.968468
284	5999.940796
285	5994.433788
286	5977.266634
287	5962.147028
288	5947.150239
289	5937.510229
290	5921.425933
291	5902.086234
292	5887.147016
293	5878.934201
294	5864.855159
295	5853.008324
296	5838.9473
297	5820.593014
298	5804.951289
299	5784.761015
