iter	Passed	Remaining
0	5	1783
1	11	1655
2	14	1425
3	18	1398
4	23	1367
5	27	1347
6	32	1356
7	37	1366
8	42	1374
9	47	1378
10	51	1360
11	56	1366
12	61	1367
13	66	1358
14	71	1363
15	76	1354
16	80	1346
17	85	1337
18	89	1326
19	92	1289
20	97	1289
21	101	1285
22	106	1283
23	110	1273
24	115	1274
25	120	1269
26	123	1249
27	128	1250
28	133	1250
29	138	1249
30	144	1252
31	149	1253
32	154	1248
33	159	1246
34	164	1245
35	168	1238
36	174	1238
37	178	1233
38	182	1222
39	187	1219
40	192	1213
41	196	1206
42	201	1202
43	206	1200
44	211	1196
45	215	1190
46	221	1191
47	225	1184
48	229	1177
49	234	1174
50	239	1168
51	243	1159
52	248	1157
53	253	1154
54	259	1157
55	264	1150
56	268	1145
57	275	1149
58	281	1151
59	291	1164
60	295	1158
61	299	1149
62	302	1139
63	305	1127
64	310	1120
65	313	1110
66	316	1101
67	319	1090
68	322	1080
69	326	1072
70	329	1063
71	333	1054
72	335	1044
73	338	1034
74	341	1024
75	344	1016
76	348	1008
77	351	999
78	354	991
79	357	982
80	360	974
81	362	964
82	365	956
83	368	947
84	371	939
85	374	933
86	378	926
87	382	922
88	387	918
89	392	915
90	396	910
91	400	904
92	404	899
93	407	892
94	410	885
95	413	878
96	416	871
97	420	866
98	424	861
99	428	856
100	432	851
101	435	845
102	438	838
103	441	832
104	444	826
105	448	820
106	451	815
107	455	810
108	458	804
109	462	798
110	465	793
111	469	788
112	473	782
113	476	777
114	480	772
115	483	766
116	487	762
117	490	756
118	493	751
119	496	745
120	500	740
121	504	735
122	507	730
123	511	725
124	514	720
125	517	714
126	520	709
127	524	704
128	527	699
129	573	749
130	578	745
131	585	744
132	591	742
133	599	743
134	604	739
135	608	734
136	612	728
137	615	722
138	618	716
139	622	711
140	625	705
141	629	700
142	633	695
143	637	690
144	640	684
145	644	680
146	647	674
147	650	668
148	654	663
149	657	657
150	660	651
151	663	646
152	667	640
153	669	635
154	673	629
155	676	624
156	680	619
157	683	614
158	687	609
159	691	604
160	695	600
161	699	596
162	702	590
163	706	585
164	709	580
165	712	575
166	715	570
167	719	565
168	722	560
169	726	555
170	729	550
171	734	546
172	738	542
173	741	536
174	744	531
175	748	527
176	751	521
177	754	516
178	757	511
179	760	507
180	765	502
181	769	499
182	773	494
183	776	489
184	779	484
185	783	479
186	786	475
187	789	470
188	792	465
189	796	460
190	799	456
191	802	451
192	805	446
193	808	441
194	811	436
195	814	432
196	817	427
197	820	422
198	823	417
199	826	413
200	829	408
201	832	404
202	836	399
203	840	395
204	844	391
205	847	386
206	850	382
207	854	377
208	858	373
209	861	369
210	864	364
211	867	359
212	870	355
213	873	351
214	876	346
215	879	342
216	883	337
217	887	333
218	890	329
219	894	325
220	898	321
221	902	317
222	905	312
223	909	308
224	911	303
225	915	299
226	919	295
227	922	291
228	925	287
229	929	282
230	933	278
231	937	274
232	940	270
233	943	266
234	946	261
235	950	257
236	952	253
237	955	248
238	959	244
239	962	240
240	965	236
241	968	232
242	971	227
243	974	223
244	977	219
245	980	215
246	983	210
247	985	206
248	989	202
249	991	198
250	994	194
251	997	190
252	1000	185
253	1003	181
254	1006	177
255	1009	173
256	1012	169
257	1015	165
258	1018	161
259	1021	157
260	1025	153
261	1029	149
262	1032	145
263	1036	141
264	1040	137
265	1043	133
266	1047	129
267	1050	125
268	1054	121
269	1058	117
270	1062	113
271	1065	109
272	1069	105
273	1073	101
274	1076	97
275	1080	93
276	1084	90
277	1088	86
278	1091	82
279	1095	78
280	1099	74
281	1102	70
282	1106	66
283	1109	62
284	1113	58
285	1117	54
286	1121	50
287	1125	46
288	1129	42
289	1133	39
290	1136	35
291	1140	31
292	1143	27
293	1147	23
294	1151	19
295	1156	15
296	1159	11
297	1163	7
298	1167	3
299	1171	0
